key;id_now;ff_x;ff_y;fw_x;fw_y;fa_x;fa_y;t_x;t_y
174;64;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
174;65;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;2
177;65;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
174;66;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;66;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
174;67;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;67;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;68;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
174;68;-0.0;1.0;-0.0;-0.0;3.161156892310827;2.107437928207218;1;1
175;68;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;68;-0.0;1.0;-0.0;-0.0;-2.274195954993015e-15;1.5680152775651732e-15;0;1
173;69;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
174;69;-0.0;1.0;-0.0;-0.0;1.0537189641036098;-3.85396000379754e-15;0;2
175;69;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;-1;1
177;69;-0.0;1.0;-0.0;-0.0;-2.274195954993015e-15;1.5680152775651732e-15;0;1
4;70;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;70;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
174;70;-0.0;1.0;-0.0;-0.0;-4.863470841141282e-16;-1.897608185969009e-15;1;1
175;70;-0.0;1.0;-0.0;-0.0;-2.274195954993015e-15;1.5680152775651732e-15;0;2
177;70;-0.0;1.0;-0.0;-0.0;-4.726678313469211e-17;5.801706877715512e-15;0;1
4;71;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;0
173;71;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
174;71;-0.0;1.0;-0.0;-0.0;-4.863470841141282e-16;-1.897608185969009e-15;0;1
175;71;-0.0;1.0;-0.0;-0.0;-1.3431574123620046e-15;7.176976860913113e-15;-1;1
177;71;-0.0;1.0;-0.0;-0.0;-3.777698411701369e-15;-3.74140020824617e-15;0;1
4;72;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;72;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;1;1
174;72;-0.0;1.0;-0.0;-0.0;-4.863470841141282e-16;-1.897608185969009e-15;1;2
175;72;-0.0;1.0;-0.0;-0.0;-1.1064109315787562e-15;1.0869541912400703e-15;0;1
176;72;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
177;72;-0.0;1.0;-0.0;-0.0;1.130782612116566e-16;-9.211160738403862e-15;0;1
4;73;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
172;73;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;1
173;73;-0.0;1.0;-0.0;-0.0;-0.0;-0.0;0;2
174;73;-0.0;1.0;-0.0;-0.0;-9.95142983302641e-17;-3.2513195080191808e-15;0;1
175;73;-0.0;1.0;-0.0;-0.0;-1.1064109315787562e-15;1.0869541912400703e-15;0;1
176;73;-0.0;1.0;-0.0;-0.0;-1.3674401325394229e-15;3.157967714489334e-15;0;1
